Predicted Optimal Feature Sets,Actual Observed Accuracy,Percent Increase over Full Feature Set
"set(['270:645', '1:25', '26:48'])",0.863930886,0.15942029
"set(['270:645', '26:48'])",0.859611231,0.153623188
set(['270:645']),0.857451404,0.150724637
"set(['261:269', '270:645'])",0.857451404,0.150724637
"set(['261:269', '49:260', '270:645'])",0.857451404,0.150724637
"set(['261:269', '26:48', '270:645'])",0.857451404,0.150724637
"set(['270:645', '49:260'])",0.855291577,0.147826087
"set(['270:645', '1:25'])",0.855291577,0.147826087
"set(['261:269', '1:25', '270:645'])",0.855291577,0.147826087
"set(['261:269', '1:25', '26:48', '270:645'])",0.853131749,0.144927535
"set(['270:645', '26:48', '49:260'])",0.850971922,0.142028985
"set(['270:645', '1:25', '49:260'])",0.850971922,0.142028985
"set(['270:645', '1:25', '26:48', '49:260'])",0.850971922,0.142028985
"set(['261:269', '26:48', '49:260', '270:645'])",0.848812095,0.139130434
"set(['261:269', '1:25', '49:260', '270:645'])",0.846652268,0.136231884
"set(['261:269', '1:25', '26:48', '49:260', '270:645'])",0.846652268,0.136231884
